,,,,,,,,,,,,,,,,,,,
NOMBRE,MD5,SHA1,SHA256,SSDEEP,MITRE,THIP,PWATTS,EFWD,TCSAR,DIIA,IOHSPS,ILE,ASTSPD,PSTS,NAWD,TCAEOWR,KT,TPHTMC,Y
ToggleSwitch.dll,FF7ED1E1C30D3233A5F5E8E02FA72E37,EBADBB23D69D85315952844553E8444D343613AC,4C511DA5FE13896CEADB731E79EF7E71F749340A4806C81447F7F0CDCDD02F36,768:pYzufXlKiyz581q7z4hkbzoJqXsqj60zCKHiGU1dP4f6GA4yfbwP7g+f7iFqTjjh:+zu/lUx7z48zoJOdjCKHiGU1dP4CPwPN,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srvr.js,37FDFE356ADB362D253E7CA533018B51,7C995195D425F5E2E2070B4BAB15D67BCFDF505F,228D1F1D90F26B64AB57E220AE0D883DDC3887A861CC935993ED0472B6083F61,384:SNz4QeF7Z3zu7XqBuSUPRN7l9GIk9SWRBDZbsTcTl9KV4YokN54iSnFx:SN4QeK7mBDZbC273x,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Read me.txt,DEBA3C7F9D3A1A7CF66E2F9D72C2DC89,3569A0205997C86832C1935F68FBE177D21425FC,B0A183C44CBB786139471588EF9F7119A6529922BF04A53931B96664F86A0E4E,24:65oqirgpaSSPWolVz8tcnfTIUiLE4wA/Bp/KrzBp0H+ggo5YG3mJJlbinjVZaA0b:65ospaSSPWoXz8vUhW9py5HllpK10R,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Login_v1.zip,A8D67D945CF03D221ABEAFEEE955804E,9751B6A7C8E30E9C719FDC008977C8E478A05055,EAF10233EA6333F8B0FF827148C8BE21B61F327B18D6E0E8899A4BCDB8ABEDE2,98304:k4s44/OQqMavLFhaVTVXUx6OcWjTUJnHR7eIhHGhgkC6r4jm7hhjdo9S:kX9qmU53jTOnHcyHGhBly4XyA,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ApplicationInsights.config,A42F76CEC7A9B274F5A911D950BEE048,E45C91FC169B079F80FA4B2A3472E7B1ECEF3DBF,87FF6AE94464D068B9A194B6555A48FDCE5FE1FB84F0EF4EFD2504C91D65B14B,96:KEwlTnunan9bWLiT61UOiACbRbebebcbZb36g+l9+SmR+3nK2nKYjeB+vjA+nO7v:v18W0K2nKYjDiiFVLk,"Discovery
Defense evasion",0,0,0,0,0,0,0,0,0,0,0,0,0,0
FoxPanel.csproj,50F7FF2B58D725B4C7B414EE987A44AE,71694BE0DC9823EEE4D62B8407D7B0482BA670D0,C16F4ACE55490FE60FE8E41DC1305A22AE3D6C15040979E439AE4D754EEC602B,384:7QABWMNuUwEgrRy1QJ48G6oYUkjbhfnwwfCmo5mKVRwrXrm+jYpv4JU:7QAZ8G6oYUkjbhfnwwfCmog7mpv4JU,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FoxPanel.csproj.user,2FAE1EEDA003D299FA246674B8255CFA,B7D8A991D167557DD5FD61DFD070AAE9635D1782,F50F6EFF3E2B3BFEE98B8A0151F9BB59825C5C4710138F3E2ECE039A3B2FD3CD,24:JdrK4+lAq7LSY6D5HQPi3VrYiZ+rYK2jLhrYKJEKYK2wAwdr5/vpQPkJja:3rYlPXSY6Dei3VrYiZ+rYxVYi5YKAwdK,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global.asax,B0C50C186C8B1499B33BD4B0FC9213F6,87D468805C14D24B7B33E76CDB7545541D2B5511,09ACEA7967BD7B56D2B4A2F795278558E72EE0C893741BE4BBE2C09576F34723,3:jFAkRMQcsNaqxdqNf1b0DcVCTRMQlwTBhF+y:jFAGLxQdZwwTR,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Global.asax.cs,56A9DDE9FBE3002F7398C020B93D7AE2,75BC7F262D4CB1F1EBAB8B13F0C229EE644B6231,4058A6F00A76860181418B5FA7FFCEDEDC9637CB19DC479ED263D861DB2E9D65,12:V/DGr4KKr2ns9KesrsfvresY3xXGHwEf+XTmXX4WSXaNZiUTCXQGCXqi+:Jo4KM2ndeO4eJ3lC+SXqX4ZNCXdCXm,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
packages.config,F2FAB299D13E32EB9253CF3A72A95C79,49A92483C61BEDA48B55DBCBCCA19B0E0E5A8760,F16E61AD3A0FA30608925F9DB929863D354C560E1E101D13B0A5F940CC74BD8E,48:3DIH0DOEHbHNHULHa94HztHzGHz4KHzUKHzdHzyKHzM0HzBHzKMHzfFHz1Hzj/NJ:zIH0yEHbHNHeHaWHztHzGHz4KHzUKHzL,"Discovery
Defense evasion",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web.config,79F330518E97E008CECD7BE606773C84,1A1484195392DE2740878FC2D195DA5CDCFB9F43,64A75EBCAE8CF9F0D42A635F9495B4EFB434566F74CB5299CD0A5DE9B780EFDB,96:zGlnK2+UWMqEy2n2+EjjnXj0CjAXj0iQjfd:CnwMqEyhnzfAzKd,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web.Debug.config,C4E820A9D4E7539AF5DB2026384B565F,DF39FFFAE212E0B88B047D6329AE2D41DA44D57D,E77F65AD135E84D6496BD7F8FC1CF8574E10424385C8F6DF8FC2ED6D63005C52,24:8W+BPTP+ZEEc/DaPeMiEzxBDVt2s/CoUV3hMOj:2SZtsDAqEzvVt2GaCI,"Discovery
Defense evasion
",0,0,0,0,0,0,0,0,0,0,0,0,0,0
HighShell.aspx,888929F06CAD62B38120C13D5800B978,45390983EA1FAA1980442A8281B03F6D65552955,F7DDB07500CDE2D29C3B0A52D488D99B53CEA8DABC31947A7E01E387C22ED183,768:XBcvMNZ+jxkVE2lrFKexnmyII1rdm2ZA3/8qQxWQOkp6LeyU/p0Y:XpNomu2lrFfxnmyIIZdm2O3joWQOG6SH,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error4.aspx,36A17455105047026E37DE0D1A281257,D28C2D6875FA36B1F400D1AEF0A39EAAFBAD1563,FE9CDEF3C88F83B74512EC6400B7231D7295BDA78079B116627C4BC9B7A373E0,768:XBc/MXZ+1xksE2lr9/fxnmyIFJpmdm2ZV3HQAKOvFxLeyU/p0p:XXXem72lr9XxnmyIFWdm2T3HHKONxSyf,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpiredPassword.aspx,8214BD033B7830AE489F779DE2184D6E,7C8FDC068C58FF95B36BB7CF79F5F0EA80F16DAC,7DA82F6C51C370D57234EB7CFFCF4009F0B89268F403368CBCE9FAB879FCCDC0,96:j3ZEQEV5wYKRsqdwdnEMsA++nY8nLK+R9SFEavxnYXtMb3:jpGadsQwdndsA+QYKO+R90EixFb3,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MyMaster.aspx,ED9DF0D451824D2F17E85C3837667AC5,E0F97211BACB79EF304AD1AF0D09BBB00B8B33ED,E483EEE77FCC5EF11D5BF33A4179312753B62EC9A247DD14528CC797E7632D99,384:Y1vQ2RUkJqOBbq8k4ITU/thxjsg36ivDmmCMTGToSM9ZCJMLCLSIvpi7ZEZR49G:CxRUvO246ItHo2pDPT1NCLZM7GZR49G,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx.cs,DCD1B4C94F1ED1ADAE68039BBCCAF14F,B653C2603926BE680906BB8B671A90D2D5A77331,6194A378ED976EDD9574DFC73675A915A87B50ABE7063A1710B2D651AC2F6662,6:V/DsDr4KY1r2nsA+DWesAB6sAZ/Z3VEFFsZh5XxGSzpIogMo+HWLK:V/DGr4KKr2ns9KesZsm3Vsw5Q9f+HWm,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx,2555B7EA68649146A3AF85DACEF1218B,96C7926D60698BFBA82F3BE0ADB8EBC7439DC4C6,102393A8FFB77E84AFDBB753D4B6092D2C771C45713789E7AD3F349F03B2FBCD,12:jaq7nl3MyHsBl2dKS1WBAH4e62HAf8s/6CILzRrjRuIby:ja8nlcFBl2dKS1IISU99rdXy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About.aspx.designer.cs,FFA9ED9F78F0C778A19F421D41418074,8C7B9D2EE130ED38C4D9610B194AA763D374CC51,BE6A817B568727D59D9E315BD5B71FC7D243C247C4E7B2DE28C976244C5C97B2,6:yjMbodj++ZqFRKrLazZQ/JJAfLEKc5j77MwT3VVZoXXr:GMbwjv4Kgljc5jvMK3Vkb,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx,42209DEF2F3DB925BD1A7D99F2C8DFBD,9E94A4D67A7378DEBF105EB3476DC4E730395850,92BC5C3FA47349AD099DD87FDAA488E3A4CB6B1A95BC0642B7103184744AC724,12:j1iT7nl3MyHll2dKSyvWBAH4e62HAf8s/6+FyXrIASAfNFaILy//rdNrlX9Bn4Vf:jkvnlc4l2dKS4IISUJbr5aIOZNrlNBnG,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx.cs,16C2B6A72AF9130563E7104C8D516F43,067F97F38B613E61CF9BF15CCB027B4BB84AC04B,9D133E36189DA8DDF1A08532E1E0ED2202A247E37C3B61E8838B7BACF063AA3E,6:V/DsDr4KY1r2nsA+DWesAB6sAZ/Z3VEFFskPES5XxGSzpIogMo+HWLK:V/DGr4KKr2ns9KesZsm3VsDj5Q9f+HWm,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact.aspx.designer.cs,AC29BE7B9FEE4D5BCCD491F2010227B2,380D3F84B7725A73C94A18092D05303C0419B0F,1CA98FE932C54F01C46FDE2E8E16C4C4B4EA04C11FA0E8463AB57D42A6BEFC34,6:yjMbodj++ZqFRKrLazZQ/JJAfLEKc5j77MwT3VV9BXr:GMbwjv4Kgljc5jvMK3V7Bb,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx,202867FC8C9E307C155760891C38A22B,2F0A25B32CD1109973C9AF87877FCFC76B449F13,0B4FEF4BF992BF86DC5D1FCF9057902AA5B3152DA5808E3B859E91F1FBD23BAD,24:jgnlcvvl2dKSu5IISw0njUodm3g28axZf5u1F+ydmk2rTX1U3oSATr4fubrj2rTq:jDVvU+gwRgF+ydm3zP+ubK2Qy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx.cs,C1546067D979ED08035C7B4B6EB29B82,24B14ED47FF6EF888B96F7EA4A2998ED2F4F4D5C,8C92B9BB4687202A0F90FAC95ED2F64ABE8E47B14F32C307BEC4F82F76BEB351,6:V/DsDr4KY1r2nsA+DWesAB6sAZ/Z3VEFFsyXj8S5XxGSzpIogMo+HWLK:V/DGr4KKr2ns9KesZsm3VsPgS5Q9f+HL,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default.aspx.designer.cs,B15167E8995AE7C231C2124CC299C148,94027F77C5C4D9C0C9E5C6BF9EEFD1A9BE0C850C,317A7DCB397DB2037411863F884CEB2548AE5FEE8702BF3A9C698D10DC2C0602,6:yjMbodj++ZqFRKrLazZQ/JJAfLEKc5j77MwT3VVyXA3Xr:GMbwjv4Kgljc5jvMK3Vcw3b,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lap1.aspx,D8E3A4A70E70D23349641381854A6FC1,9DF9A3A50ECF5AD44F4DBB0D14525D64B7E0A04B,EB7B109DB7501A294238A5262DE00F303C44887F5CC6A4A63B58CC66E5A2C9AE,48:jXe1U+F8W1WMWEAP+FqBGRYLYVeYVGFCQZ2:jcU+qYHw+qMR7,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poster.aspx,F87BB11666C2E674B91655313CDD14DC,9B0A588BC9ADA83506C31B85C7EB5D5321552CED,84F9794AC837CF24545BBBB1EFB1661CCD606139AF58FD0B63730F4E13F7DAA9,12:jxEEuFl2dKSCKepo4WhzCf2/LfKnDSf93dNU3p8V9ae/UHc3e2XtNBC6Cv0vGu:jxEEuFl2dKSbepo4WQ+1hdip8V4eIc3V,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AddPhoneNumber.aspx,9C0339660D00823662D2D64ADC326AA4,73D4D622B07A96EA694F873E1EA880FC861044A4,E613E5370BE2C78F2479826E6BA4DDE472E3FA3426D67073A96BF0718C7B12B5,24:jfnlc2vFl2dKSxUOIISUlEszSGBw5wwpfjo7DrXewmSxKyRR8b0iUL/G/y:jq2iwjpfKDNvvLQ/y,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confirm.aspx,A835CE386F28DF271F1D7D39E547F9B0,2566565C64119DBE0D5AF7BFDCFE6EBC309EA991,48A4CFAE5A28026D7A21C9538C9AF08709700CD61ECB0651DE5C90B9B29431AF,24:j/JCnlcYl2dKSx6XwZIZvGAwA+srTtgLVF1j7OGAwssrTZevy:j/JR+mZA+sehssJsy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forgot.aspx,EAA087BC6284B5198082F13FC4CA2BCD,51507ED716C1D6654599252A0311EB5F4E787D4E,0EB6177180D1908CC4BC9660D9FD13388C61420B0213211E7F4787E62D33C0B1,24:jvpQnlcBl2dKSxUjXwZIZVSGvXGAw4Bw6/wwpf37DCHewMxKyRRNCU4buGAwXLbs:jxTD6jzGpfrDUcvLkPXLbVy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lockout.aspx,E0D8DA95E32A58DCCE8742402D8A58A4,AE3F6516F50AE95B890C43A8B23227D4610BC2C8,413025C99311152023507CA9290BB5074B5AC9A7D442437EE8F0DEA9E22D9D23,12:ja7nl3MyHml2dKSxKWBAH4e62HAfuXEYOMHRJnCQQ/TIby:jsnlc3l2dKSxKIIS2XnHRIsy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Login.aspx.designer.cs,575A8A6604F733ADC055F340574CA383,FA60ED2FCB99CB584D6DFF433C7C2607C94939D6,14F87EE0187281A7EBE3D0671ADFFC7002F349136BD9706D5A35ED895241AB50,24:GMSv4KWuvMK3VxzvhWhxZcZghxZ8hxPIwrhxPvmDhxMEXaghxTHXadhxYSxNq2H:pA8CONw3mk+aCaa2H,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manage.aspx.cs,ECFF6799B3D16A18DC3C9E45EE50C2BF,AE9A8A06D2B5298A812AAF9167981AC9CEC45932,45DC004176F1106FBBE0249AE3D04DD2BE9E98414F06D480482431C905FDD596,96:Jo4h2nVgd6t9x6GbdtlRYKgvDD2xzrS+R:9UV5bpgvPiv,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManageLogins.aspx.designer.cs,FDF4D15BA87094D8158C9A22DB0E83F4,487B7FB3B30FCF5E398E2BB912B871BC59678334,78CD685BAC5B86AF38B65907AEA4F99B38C236676B91838701771C1E22861BA7,12:GMbwjv4KgljuvMK3VxUGyLZB+BIJTiNRhvpCNy5f:GMSv4KWuvMK3Vx87WhxZf,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManagePassword.aspx.cs,FD0C282CB44AA1B4BF2A93E09B6A55C4,2186A2FB1580309A5A8BA035393DE750DF9D6EA9,4FC5E8015C302ACCAD985DD224952DB888B63E61BD1D1AED6EC2368BCC043515,48:Jo4h2ncC56veF6eUK6dReoSBOFGhF6e5yemnUosNpQx/M6edhpdvB:Jo4h2ncC56vjbdTlRYWTtOcbSvB,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Register.aspx.cs,02E82D75C627BC5888947A4F55BEFED3,6810E5C84A3F7791453E7E79225AFE7385883653,1BE67DEF5CC7FA9AC18F818298646D7A05B9EAED80F151C7A185B2C96D53E59D,24:Jo2ndeT6/Qlf3VxUXL0SS+HPAmx3O5upeF36IBPXnoTwg5s50wEHdsHo6F8hVeTu:Jo2ncT6qC/w6e5yeFKIusPCBaos8XepI,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RegisterExternalLogin.aspx,E0E924820254CDA2DE048D37F7F86F74,639CBFEE0CB6C63397FA7B9D6E318A04FD12F690,AD3A8CB1B7FBCCF2E226C2D2E5ACCA367EC193558F574BE6F54C9EC613A11639,24:j2X8KrxnlcdXBBl2dKSxXXDXwZIPSXUAzGADY5szSnAKuVHwwpfX7DinewsxKyRy:jwzrYVBDC8+kU6et0tpfLD08vLU3RIy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResetPassword.aspx.cs,B4DF7CE3A4D8C562A2CDFB00E7565EC4,6B1F967FEC9F3DB00BBE05F4C9C7B6F81D14CBFF,E39CD46329BADAD240535D17011202B60B45A0C521F8943B1F94E430984D283D,24:Jo2ndeT6/Qlf3VxZQHqFz+Hwkh/Amx3OZY10xkFS7H4p/RmbIWHk:Jo2ncT6qWQk+6eFWsMpJkE,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResetPasswordConfirmation.aspx,63EA3C47F2CCEC6E7021457DD358F3A4,6B2AF43FC49698ACA9B2BEFBB999A3D6A6B98B46,4B7B58B60E41ADCBB453F0F084856F9C20E57254396DA849BE5065AA688FDADB,12:j37nl3MyHOBl2dKSxzf7WAwZAH4e62HO8s/90ebSncVF1jN+TBlIby:jLnlczBl2dKSxzjXwZIZj4vVF1jBy,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwoFactorAuthenticationSignIn.aspx.designer.cs,E878C484334348F4B630E04E8A2C38D7,264AF3168989991818933ECB491D69DE091A03E0,AFF65EF8ACC9A2C4768F377F6437136959E1F73E91CA9E3EDA3275AEC054056D,24:GMSv4KWuvMK3Vx23hxZDIbhxj2toG9hxhPoSRhxZ1sErhxGBJBOMWhxZcZghxZ/A:pA8pIStoGzPo25m/BDOkskzj,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VerifyPhoneNumber.aspx.designer.cs,7C580C49F0CA9D746AA839606079964B,379FEAD64C884EB1530A013819DD06BCB22AF329,DF36F1B2C2D1F755516623F79F43BDCB2EE69EBB665A393FCEAA42087361A71A,24:GMSv4KWuvMK3VxGBWhxZbFrhxGP0ChxPJ:pA810JmPT,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
license.txt,67AA8C0A568A74A49637AE2F95DAC203,29D124A34F3CA81CD6A1E4E92880B3B0FABFB912,78CA570720A9B4511E2D68FB81E43520D14A049366FD0EC0BB18096BB25249AD,24:nhrLHaH0yPPTtWJq1hYp9QHBsUv48Bk4/+dGxo3C8q4Fz:hHqlP51gQHBs5JTx3C8xFz,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readme.txt,E543B0F5D98E1C9CC825E488291D4EAD,4C4CC28931F8088BD106ED4DC7CC5D4D949AF4E1,C90A95771EBF4CF44CA754FCDC48486CC0FF40C68F8B509FB468EE106C8B5AE1,24:w/rYSXBqldj7N/2RletfpU4ZBzJVU44EP4OuduyoG:Cr1ql32RletRl9XyEP4jD,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PoisonText.txt,0D3D1FABD71D56A1770178180DBB723A,C9958FA88C6F2FEF4620842F7572852C97664A9F,0BD590CBCA8C35BE524BDA932FE7C1266D1BBAF5409E2644B049F7ADC06F33F4,768:VlmQUWEMV+sTiZu/nAIpZbxvlpSbq7yaGMaEsI7uKrwp3kQ6HANMMy9gBbG2Xwx:7m6HANMMy9g17c,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copying.txt,99F3B5B60D488B7F1A56E14BD13C76FE,F4DC0C3B183066767E8EE4B2DF64BA2B67287B13,2C3C3EF532828BCD42BB3127349625A25291FF5AE7E6F8D42E0FE9B5BE836A99,384:ojnBIk+x/vIqk0lkX6sT6AATeINgKP+nHQ41fgcmmItyOQeM9YfWEZJBfuo0:o7BJsPkOTeDnLqFXTflZJBfuo0,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EntityFramework.help.txt,DBE71C50019F67D4C27CCB12B5E7E609,9643A8B9EF02E741D110701845616BA5330F3762,EBFBC965F0AEC39DC1D32A59CAEBC410223F6F8A641E706E5F928B63C33A2F6A,24:f2mFTktNuV0egXVjCgkBzF8DMkYks1qnApdIXVc5m8yaQterHPeVsuhkaT:f2mFTykVAXVmggyDrOedXVUmH1tyvq,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExpiredPassword.aspx,8214BD033B7830AE489F779DE2184D6E,7C8FDC068C58FF95B36BB7CF79F5F0EA80F16DAC,7DA82F6C51C370D57234EB7CFFCF4009F0B89268F403368CBCE9FAB879FCCDC0,96:j3ZEQEV5wYKRsqdwdnEMsA++nY8nLK+R9SFEavxnYXtMb3:jpGadsQwdndsA+QYKO+R90EixFb3,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDManLib.dll,43538E83007A919DD8EE96655B2BEA38,49871B8C61DB4142926BF28C3B474C2E70ABAC4A,ECC0766B13F2B34D7C9FEDDA622F0E8F2AFF683D241545FDE1E39726330B6A1E,48:6mFvmUKVU1elA3QzwwKK7cpji24etBr/7ONFOPulUY0x38HI:/gUB1em1FI24etJcyY0B8,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minion.dll,74A3092EF6B769F5B730E35CB66A3789,B6B688B58893738FC8AFE28884B321D4B7A17A4A,6E9C974440C1D23DFF28A5578C39004A543E4C60B772C62C50B593BC37EE4D3F,768:8RMnbMnhAWQ+dziRQDhyf4FUBzIU79bHqZt+hdtTgVcW:8RMngiWDhGIU79bHIt+ftAn,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
